,DATE,Volume AI,,,,,,,,,,,,
,26-07-2021,5118493,,,,,,,,,,,,
,27-07-2021,5727485,,,,,,,,,,,,
,28-07-2021,31932505,,,,,,,,,,,,
,29-07-2021,15552340,,,,,,,,,,,,
,30-07-2021,9938812,,,,,,,,,,,,
,02-08-2021,6254864,,,,,,,,,,,,
Select Company,03-08-2021,21280806,,,,,,,,,,,,
Volume AI,04-08-2021,21414510,,,,,,,,,,,,
,05-08-2021,71088770,,,,,,,,,,,,
,06-08-2021,28520160,,,,,,,,,,,,
,09-08-2021,9892910,,,,,,,,,,,,Open AI
,10-08-2021,33878294,,,,,,,,,,,,
,11-08-2021,18386089,,,,,,,,,,,,
,12-08-2021,8274954,,,,,,,,,,,,
,13-08-2021,20690579,,,,,,,,,,,,
,16-08-2021,10312706,,,,,,,,,,,,
,17-08-2021,11102775,,,,,,,,,,,,
,18-08-2021,7005347,,,,,,,,,,,,
,20-08-2021,12534832,,,,,,,,,,,,
,23-08-2021,12554898,,,,,,,,22-07-2022,,,,
,24-08-2021,5776595,,,,,,,Open ,#REF!,,,,
,25-08-2021,7977884,,,,,,,High,4077.899902,,,,
,26-08-2021,25831904,,,,,,,Low,3950,,,,
,27-08-2021,16141223,,,,,,,Volume,3963.399902,,,,
,30-08-2021,39759785,,,,,,,52 Week High,5900,,,,
,31-08-2021,59661820,,,,,,,52 Week low,3186,,,,
,01-09-2021,30228814,,,,,,,,,,,,
,02-09-2021,18601857,,,,,,,,,,,,
,03-09-2021,7774350,,,,,,,,,,,,
,06-09-2021,10035041,,,,,,,,,,,,
,07-09-2021,27665704,,,,,,,,,,,,
,08-09-2021,20492200,,,,,,,,,,,,
,09-09-2021,19419892,,,,,,,,,,,,
,13-09-2021,19341527,,,,,,,,,,,,
,14-09-2021,11694600,,,,,,,,,,,,
,15-09-2021,56796797,,,,,,,,,,,,
,16-09-2021,45001991,,,,,,,,,,,,
,17-09-2021,26649321,,,,,,,,,,,,
,20-09-2021,14330899,,,,,,,,,,,,
,21-09-2021,14216876,,,,,,,,,,,,
,22-09-2021,16348622,,,,,,,,,,,,
,23-09-2021,26497345,,,,,,,,,,,,
,24-09-2021,72175065,,,,,,,,,,,,
,27-09-2021,11282248,,,,,,,,,,,,
,28-09-2021,21944239,,,,,,,,,,,,
,29-09-2021,16729859,,,,,,,,,,,,
,30-09-2021,13911568,,,,,,,,,,,,
,01-10-2021,14952128,,,,,,,,,,,,
,04-10-2021,8917898,,,,,,,,,,,,
,05-10-2021,25598885,,,,,,,,,,,,
,06-10-2021,10406502,,,,,,,,,,,,
,07-10-2021,8121590,,,,,,,,,,,,
,08-10-2021,6297352,,,,,,,,,,,,
,11-10-2021,8792050,,,,,,,,,,,,
,12-10-2021,8579567,,,,,,,,,,,,
,13-10-2021,7062149,,,,,,,,,,,,
,14-10-2021,9820591,,,,,,,,,,,,
,18-10-2021,8574445,,,,,,,,,,,,
,19-10-2021,7328862,,,,,,,,,,,,
,20-10-2021,21217306,,,,,,,,,,,,
,21-10-2021,8908979,,,,,,,,,,,,
,22-10-2021,6587256,,,,,,,,,,,,
,25-10-2021,9540441,,,,,,,,,,,,
,26-10-2021,10953878,,,,,,,,,,,,
,27-10-2021,11878571,,,,,,,,,,,,
,28-10-2021,8884507,,,,,,,,,,,,
,29-10-2021,8602343,,,,,,,,,,,,
,01-11-2021,17121001,,,,,,,,,,,,
,02-11-2021,7725455,,,,,,,,,,,,
,03-11-2021,23261507,,,,,,,,,,,,
,04-11-2021,1064714,,,,,,,,,,,,
,08-11-2021,7565546,,,,,,,,,,,,
,09-11-2021,5278131,,,,,,,,,,,,
,10-11-2021,15180490,,,,,,,,,,,,
,11-11-2021,7421118,,,,,,,,,,,,
,12-11-2021,9207508,,,,,,,,,,,,
,15-11-2021,5454742,,,,,,,,,,,,
,16-11-2021,4639931,,,,,,,,,,,,
,17-11-2021,8002927,,,,,,,,,,,,
,18-11-2021,4469597,,,,,,,,,,,,
,22-11-2021,36884348,,,,,,,,,,,,
,23-11-2021,18240414,,,,,,,,,,,,
,24-11-2021,21653712,,,,,,,,,,,,
,25-11-2021,8483653,,,,,,,,,,,,
,26-11-2021,11142921,,,,,,,,,,,,
,29-11-2021,15885643,,,,,,,,,,,,
